,Model,accuracy,precision,recall,f1_score,Fit Time (s)
0,Logistic Regression,0.8869,0.9290623898484315,0.8785833333333334,0.9031180400890868,2.315
1,KNN,0.80185,0.913894324853229,0.7394166666666667,0.817448984292229,2.356
2,Random Forest,0.9198,0.9998076923076923,0.8665,0.9283928571428571,20.32
3,Linear SVM,0.88665,0.9284267981336385,0.8788333333333334,0.9029496125690312,2.734
4,MLP,0.9124,0.9864249098158344,0.8659166666666667,0.9222508209816278,17.734
5,XGBoost,0.9181,0.9949369507069163,0.8679166666666667,0.9270963147587681,2.954
