Model,accuracy,precision,recall,f1_score,Fit Time (s)
Logistic Regression,0.86035,0.875030549898167,0.8950833333333333,0.8849433573635428,0.402
KNN,0.8147,0.8565165061898212,0.83025,0.8431787406905891,0.165
Random Forest,0.91975,0.9997115661955581,0.8665,0.9283514128833534,10.014
Linear SVM,0.85685,0.8691717171717172,0.8963333333333333,0.8825435897435897,0.676
MLP,0.9127,0.9914685582822086,0.8619166666666667,0.9221647646219686,26.725
XGBoost,0.9179,0.9948404356965411,0.8676666666666667,0.9269117777975607,0.845
